project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
codecarbon,f5ac0e48-7665-49e3-b2e4-98f4c87d989b,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.1982286999991629,2.318300225567749e-06,1.1695078591432718e-05,42.5,63.609577934179775,10,2.3058622916626825e-06,3.4650027720001e-06,5.287327777801289e-07,6.299597841442911e-06,United States,USA,illinois,,,Windows-11-10.0.26100-SP0,3.12.11,3.0.4,24,Intel(R) Core(TM) i7-14650HX,1,1 x NVIDIA GeForce RTX 4060 Laptop GPU,-87.5993,41.8018,15.714714050292969,machine,N,1
codecarbon,22be5e2e-7f2a-43d4-8a7f-b65208989755,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0633347,3.2129005583681403e-06,5.072891414246951e-05,42.5,470.3243260787047,10,6.999159721797494e-07,7.880284081999934e-06,1.5032638887835977e-07,8.730526443058044e-06,United States,USA,illinois,,,Windows-11-10.0.26100-SP0,3.12.11,3.0.4,24,Intel(R) Core(TM) i7-14650HX,1,1 x NVIDIA GeForce RTX 4060 Laptop GPU,-87.5993,41.8018,15.714714050292969,machine,N,1
codecarbon,2f34a5fb-e510-4f5f-b104-7e731b8a5be1,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.1715917000110494,4.789711616964175e-06,2.7913422482880865e-05,42.5,233.50618079747483,10,1.9275414584121285e-06,1.0651397410000284e-05,4.363111111160834e-07,1.3015249979528497e-05,United States,USA,illinois,,,Windows-11-10.0.26100-SP0,3.12.11,3.0.4,24,Intel(R) Core(TM) i7-14650HX,1,1 x NVIDIA GeForce RTX 4060 Laptop GPU,-87.5993,41.8018,15.714714050292969,machine,N,1
codecarbon,6f8e8f82-96d1-4908-bedc-589ba842e3c5,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0978154,8.901995868821589e-07,9.10081221203832e-06,42.5,40.82616646267564,10,1.104707222313866e-06,1.0713897460000717e-06,2.4287333334440415e-07,2.4189703016583417e-06,United States,USA,illinois,,,Windows-11-10.0.26100-SP0,3.12.11,3.0.4,24,Intel(R) Core(TM) i7-14650HX,1,1 x NVIDIA GeForce RTX 4060 Laptop GPU,-87.5993,41.8018,15.714714050292969,machine,N,1
codecarbon,4b91f797-4f39-41cf-aff2-b4b1b29b4cea,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.2126197000034153,5.4018367301679325e-06,2.540609703654535e-05,42.5,200.95538509639576,10,2.455490625005849e-06,1.1659453772000028e-05,5.63654444461766e-07,1.4678598841467644e-05,United States,USA,illinois,,,Windows-11-10.0.26100-SP0,3.12.11,3.0.4,24,Intel(R) Core(TM) i7-14650HX,1,1 x NVIDIA GeForce RTX 4060 Laptop GPU,-87.5993,41.8018,15.714714050292969,machine,N,1
codecarbon,f1843787-6f35-4dac-aee7-fd8e28d495db,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0662769,5.716478250465032e-06,8.625144283036451e-05,42.5,839.7940563343856,10,7.308984722233922e-07,1.4645845050000009e-05,1.5684166666889925e-07,1.55335851888923e-05,United States,USA,illinois,,,Windows-11-10.0.26100-SP0,3.12.11,3.0.4,24,Intel(R) Core(TM) i7-14650HX,1,1 x NVIDIA GeForce RTX 4060 Laptop GPU,-87.5993,41.8018,15.714714050292969,machine,N,1
codecarbon,7cc19875-6ff3-4de1-a9b0-20bea1ccfb26,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.1687184000038541,4.269680117093173e-06,2.530654698595789e-05,42.5,200.85574292143937,10,1.942800138850645e-06,9.224729602000076e-06,4.346205555824175e-07,1.160215029643314e-05,United States,USA,illinois,,,Windows-11-10.0.26100-SP0,3.12.11,3.0.4,24,Intel(R) Core(TM) i7-14650HX,1,1 x NVIDIA GeForce RTX 4060 Laptop GPU,-87.5993,41.8018,15.714714050292969,machine,N,1
codecarbon,280baa4f-5533-4d22-8c16-1f4896764376,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0794375,2.4906115944967656e-06,3.13530963857003e-05,42.5,267.77507124102937,10,8.922615278101553e-07,5.681948990000083e-06,1.936150000094333e-07,6.767825517819671e-06,United States,USA,illinois,,,Windows-11-10.0.26100-SP0,3.12.11,3.0.4,24,Intel(R) Core(TM) i7-14650HX,1,1 x NVIDIA GeForce RTX 4060 Laptop GPU,-87.5993,41.8018,15.714714050292969,machine,N,1
codecarbon,e794e09f-9b2d-4154-a87a-1ce8d6a2af2a,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.2079260999889811,4.478562395091296e-06,2.1539202607698764e-05,42.5,165.13201755834788,10,2.373329861004297e-06,9.255007403999836e-06,5.414161110820715e-07,1.2169753376086204e-05,United States,USA,illinois,,,Windows-11-10.0.26100-SP0,3.12.11,3.0.4,24,Intel(R) Core(TM) i7-14650HX,1,1 x NVIDIA GeForce RTX 4060 Laptop GPU,-87.5993,41.8018,15.714714050292969,machine,N,1
codecarbon,2967dc66-7208-4b80-b236-e384f3708247,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.070992,3.530388408388602e-07,4.972938371518677e-06,42.5,0,10,7.893902777040138e-07,0,1.6993444442050536e-07,9.59324722124519e-07,United States,USA,illinois,,,Windows-11-10.0.26100-SP0,3.12.11,3.0.4,24,Intel(R) Core(TM) i7-14650HX,1,1 x NVIDIA GeForce RTX 4060 Laptop GPU,-87.5993,41.8018,15.714714050292969,machine,N,1
codecarbon,93467f8c-59fc-4dcd-9762-df8339a04271,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.1765661999961594,4.0068247597440905e-06,2.2693045213813543e-05,42.5,175.33703788149677,10,2.0233364582357658e-06,8.401951166000241e-06,4.6259666665314907e-07,1.0887884290889157e-05,United States,USA,illinois,,,Windows-11-10.0.26100-SP0,3.12.11,3.0.4,24,Intel(R) Core(TM) i7-14650HX,1,1 x NVIDIA GeForce RTX 4060 Laptop GPU,-87.5993,41.8018,15.714714050292969,machine,N,1
codecarbon,fc406dad-9296-4118-b8cf-0e419f23e1a2,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0771424,3.882836495392425e-07,5.033336395431093e-06,42.5,0,10,8.671794445237741e-07,0,1.8791722221875614e-07,1.05509666674253e-06,United States,USA,illinois,,,Windows-11-10.0.26100-SP0,3.12.11,3.0.4,24,Intel(R) Core(TM) i7-14650HX,1,1 x NVIDIA GeForce RTX 4060 Laptop GPU,-87.5993,41.8018,15.714714050292969,machine,N,1
codecarbon,50dd5d11-bee3-433b-ab5b-be88b0a95ada,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.2192901999951573,3.303394884939161e-06,1.5064033344910587e-05,42.5,97.64728296044082,10,2.5368368054841996e-06,5.856949129999902e-06,5.826438888713408e-07,8.976429824355443e-06,United States,USA,illinois,,,Windows-11-10.0.26100-SP0,3.12.11,3.0.4,24,Intel(R) Core(TM) i7-14650HX,1,1 x NVIDIA GeForce RTX 4060 Laptop GPU,-87.5993,41.8018,15.714714050292969,machine,N,1
